lat, lon
51.59769,-0.19762
51.59778005727889,-0.19759903512390026
51.59787011455777,-0.197578070206228
51.59796017183666,-0.197557105246983
51.59805022911555,-0.19753614024616506
51.59814028639444,-0.19751517520377393
51.59823034367333,-0.19749421011980944
51.59832040095222,-0.19747324499427135
51.59841045823111,-0.19745227982715943
51.59850051550999,-0.1974313146184735
51.59859057278887,-0.19741034936821328
51.59868063006777,-0.19738938407637863
51.59877068734666,-0.1973684187429693
51.598860744625554,-0.19734745336798504
51.59895080190445,-0.19732648795142566
51.59904085918334,-0.19730552249329095
51.59913091646224,-0.19728455699358066
51.59922097374113,-0.1972635914522946
51.59931103102003,-0.1972426258694326
51.59940108829891,-0.19722166024499435
51.5994911455778,-0.1972006945789797
51.59958120285669,-0.19717972887138843
